Time     Temperature!     Force
160.381000 33.550000 33.550000 
160.503000 28.000000 28.000000 
160.842000 33.520000 33.520000 
160.963000 28.000000 28.000000 
161.281000 33.510000 33.510000 
161.404000 28.000000 28.000000 
161.745000 33.480000 33.480000 
161.865000 28.000000 28.000000 
162.204000 33.530000 33.530000 
162.325000 28.000000 28.000000 
162.644000 33.520000 33.520000 
162.764000 28.000000 28.000000 
163.104000 33.420000 33.420000 
163.226000 28.000000 28.000000 
163.563000 33.460000 33.460000 
163.683000 28.000000 28.000000 
164.021000 33.390000 33.390000 
164.143000 28.000000 28.000000 
164.462000 33.420000 33.420000 
164.583000 28.000000 28.000000 
164.923000 33.390000 33.390000 
165.044000 28.000000 28.000000 
165.363000 33.380000 33.380000 
165.485000 28.000000 28.000000 
165.825000 33.400000 33.400000 
165.946000 28.000000 28.000000 
166.284000 33.410000 33.410000 
166.405000 28.000000 28.000000 
166.745000 33.350000 33.350000 
166.865000 28.000000 28.000000 
167.184000 33.370000 33.370000 
167.304000 28.000000 28.000000 
167.646000 33.340000 33.340000 
167.766000 28.000000 28.000000 
168.106000 33.300000 33.300000 
168.226000 28.000000 28.000000 
168.545000 33.380000 33.380000 
168.665000 28.000000 28.000000 
169.004000 33.260000 33.260000 
169.125000 28.000000 28.000000 
169.462000 33.270000 33.270000 
169.582000 28.000000 28.000000 
169.902000 33.340000 33.340000 
170.023000 28.000000 28.000000 
170.363000 33.280000 33.280000 
170.483000 28.000000 28.000000 
170.825000 33.260000 33.260000 
170.945000 28.000000 28.000000 
171.273000 33.210000 33.210000 
171.394000 28.000000 28.000000 
171.732000 33.270000 33.270000 
171.853000 28.000000 28.000000 
172.171000 33.260000 33.260000 
172.293000 28.000000 28.000000 
172.637000 33.270000 33.270000 
172.758000 28.000000 28.000000 
173.100000 33.270000 33.270000 
173.216000 28.000000 28.000000 
173.536000 33.210000 33.210000 
173.656000 28.000000 28.000000 
173.994000 33.260000 33.260000 
174.115000 28.000000 28.000000 
174.454000 33.230000 33.230000 
174.575000 28.000000 28.000000 
174.912000 33.150000 33.150000 
175.032000 28.000000 28.000000 
175.353000 33.250000 33.250000 
175.474000 28.000000 28.000000 
175.811000 33.170000 33.170000 
175.932000 28.000000 28.000000 
176.273000 33.190000 33.190000 
176.393000 28.000000 28.000000 
